S1a	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S1b	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S1c	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,No
S2a	NRC PBMT	Yes,Yes,Yes	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S2b	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	No,No,No	Google's NMT (March 2017)	No,No,No
S2c	NRC PBMT	No,No,No	NRC PBMT2	Yes,Yes,Yes	NRC's NMT	No,No,No	Google's NMT (March 2017)	No,No,No
S2d	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	No,No,No	Google's NMT (March 2017)	No,No,No
S3a	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S3b	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S3c	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S4a1	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S4a2 	NRC PBMT	No,No,No	NRC PBMT2	No,No,Not applicable	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S4a3	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
S4b1	NRC PBMT	No,No,No	NRC PBMT2	No,No,No	NRC's NMT	Yes,Yes,Yes	Google's NMT (March 2017)	Yes,Yes,Yes
